newscan,angle,distance
0,48.046875,3636.75
0,50.859375,3549.0
0,53.65625,3329.5
0,56.453125,3264.5
0,59.125,3199.0
0,61.875,3149.75
0,64.65625,3124.5
0,67.40625,3209.25
0,70.1875,3185.75
0,72.96875,3163.5
0,75.734375,3157.5
0,78.484375,3156.25
0,81.296875,3167.25
0,84.15625,3188.0
0,86.90625,3201.5
0,89.71875,3246.0
0,92.46875,3270.0
0,95.25,3320.75
0,98.015625,3378.5
0,100.875,2956.0
0,103.703125,2705.5
0,106.515625,2464.75
0,109.203125,2335.0
0,112.046875,2100.5
0,114.84375,1982.75
0,117.71875,1761.25
0,120.453125,1792.0
0,123.3125,1658.25
0,126.09375,1621.5
0,128.921875,1517.5
0,253.9375,354.25
0,262.359375,361.25
0,264.75,363.75
0,267.4375,366.0
0,270.453125,370.0
0,272.9375,374.75
0,275.734375,379.75
0,278.5625,385.75
0,281.296875,393.25
0,284.140625,402.0
0,286.640625,411.75
0,289.484375,401.0
0,296.65625,0.0
0,299.4375,0.0
0,296.8125,546.25
0,299.671875,568.5
0,301.984375,593.5
0,304.734375,624.75
0,307.40625,656.25
0,309.859375,695.75
0,312.59375,741.0
0,315.203125,795.0
0,317.828125,859.75
0,320.34375,934.75
0,323.0625,1031.75
0,325.875,1138.0
0,328.59375,1132.75
0,331.234375,1302.25
0,338.984375,2607.0
0,341.625,3521.5
0,344.375,3475.75
0,347.09375,3615.0
1,349.8125,4052.25
0,352.5625,4066.75
0,355.9375,1504.75
0,358.734375,1498.0
0,1.484375,1508.5
0,11.28125,0.0
0,14.046875,0.0
0,9.171875,3991.25
0,15.8125,945.5
0,18.703125,874.75
0,21.453125,848.0
0,24.21875,859.75
0,26.921875,920.75
0,29.546875,957.25
0,32.3125,990.75
0,41.609375,0.0
0,44.390625,0.0
0,39.5,4042.75
0,42.28125,3888.0
0,45.0625,3762.0
0,47.84375,3643.25
0,50.609375,3553.25
0,53.390625,3338.75
0,56.140625,3269.0
0,58.796875,3203.0
0,61.546875,3155.75
0,64.28125,3127.25
0,67.03125,3219.25
0,69.796875,3194.75
0,72.515625,3178.75
0,75.296875,3157.0
0,78.03125,3154.75
0,80.78125,3167.25
0,83.609375,3182.5
0,86.390625,3200.0
0,89.140625,3228.5
0,91.890625,3263.0
0,94.640625,3313.5
0,97.40625,3359.25
0,100.171875,3238.25
0,102.984375,2777.75
0,105.8125,2565.25
0,108.5,2327.75
0,111.296875,2220.0
0,114.078125,1963.5
0,116.890625,1789.0
0,119.625,1816.5
0,122.484375,1644.0
0,125.28125,1590.5
0,128.0625,1519.5
0,130.8125,1522.5
0,255.21875,350.5
0,262.875,361.5
0,265.859375,364.25
0,268.25,367.5
0,270.90625,370.75
0,273.71875,375.75
0,276.34375,381.25
0,279.28125,387.75
0,282.078125,395.25
0,284.609375,404.5
0,287.171875,416.25
0,290.125,407.75
0,297.234375,0.0
0,299.96875,0.0
0,297.4375,550.0
0,300.125,572.5
0,302.46875,597.75
0,305.015625,629.0
0,307.71875,661.75
0,310.25,702.25
0,312.96875,746.25
0,315.453125,802.25
0,318.046875,869.0
0,320.765625,946.5
0,323.484375,1045.5
0,326.140625,1135.0
0,328.859375,1138.0
0,331.4375,1327.25
0,339.15625,2605.25
0,341.78125,3473.5
0,344.53125,3480.75
0,347.21875,3613.0
1,349.90625,4055.5
0,352.65625,4068.25
0,356.015625,1501.0
0,358.71875,1498.0
0,1.5,1508.5
0,11.28125,0.0
0,14.015625,0.0
0,9.125,3989.5
0,15.671875,950.5
0,18.578125,874.25
0,21.453125,848.75
0,24.046875,856.25
0,26.703125,921.25
0,29.421875,948.75
0,32.15625,987.25
0,41.359375,0.0
0,44.109375,0.0
0,39.203125,4054.75
0,41.984375,3905.5
0,44.734375,3773.0
0,47.484375,3654.25
0,50.234375,3564.5
0,53.0,3371.5
0,55.734375,3275.0
0,58.5,3217.75
0,61.09375,3162.75
0,63.828125,3126.25
0,66.578125,3127.5
0,69.265625,3196.75
0,72.015625,3166.0
0,74.71875,3156.25
0,77.453125,3163.25
0,80.171875,3159.5
0,83.015625,3182.0
0,85.75,3194.75
0,88.484375,3217.25
0,91.21875,3257.5
0,93.9375,3291.0
0,96.65625,3341.5
0,99.421875,3333.0
0,102.203125,2858.5
0,105.015625,2609.75
0,107.65625,2443.0
0,110.421875,2222.5
0,113.21875,2073.25
0,116.0,1841.25
0,118.78125,1794.25
0,121.609375,1633.75
0,124.3125,1577.0
0,127.09375,1536.75
0,129.859375,1514.0
0,255.859375,357.25
0,261.015625,365.0
0,263.875,362.75
0,266.6875,365.25
0,269.046875,368.0
0,271.90625,372.0
0,274.328125,377.0
0,277.21875,383.0
0,280.15625,389.5
0,282.6875,397.5
0,285.328125,407.25
0,287.953125,403.75
0,290.453125,424.75
0,297.859375,0.0
0,300.59375,0.0
0,297.984375,555.25
0,300.4375,578.5
0,303.0,604.25
0,305.640625,634.25
0,308.296875,669.75
0,310.734375,710.75
0,313.46875,757.0
0,315.90625,813.75
0,318.484375,879.5
0,321.171875,959.25
0,323.84375,1059.5
0,326.546875,1133.25
0,329.25,1150.0
0,331.8125,1344.75
0,339.4375,2610.5
0,342.09375,3076.75
0,344.765625,3474.0
0,347.4375,3613.75
1,350.125,4056.25
0,352.84375,4074.0
0,356.203125,1495.0
0,358.890625,1497.5
0,1.640625,1507.75
0,11.40625,0.0
0,305.109375,630.25
0,307.71875,661.75
0,310.25,701.0
0,312.828125,744.25
0,315.1875,797.25
0,317.765625,860.25
0,320.34375,931.75
0,322.8125,1025.25
0,325.515625,1134.25
0,328.125,1130.75
0,330.640625,1268.25
0,333.1875,1465.25
0,340.640625,3550.25
0,343.3125,3478.5
0,345.96875,3629.0
0,348.546875,3883.5
1,351.203125,4058.0
0,353.859375,4071.5
0,357.109375,1490.75
0,359.8125,1499.75
0,2.40625,1513.25
0,7.1875,3871.75
0,13.703125,930.5
0,16.421875,891.5
0,19.078125,874.5
0,21.703125,848.25
0,24.359375,856.75
0,26.859375,919.0
0,29.53125,951.75
